品番,SKU品番,カラーコード,サイズコード,商品名,販売計画No,開始日時,終了日時,ステータス,価格（%）,プランアイコンID1,プランアイコンID2,プランアイコンID3,発送予定日
cr25aw09163P,cr25aw09163-21-021,21,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-21-021,21,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-21-021,21,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-21-031,21,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-21-031,21,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-21-031,21,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-21-031,21,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-21-031,21,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-09-011,09,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-09-011,09,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-09-011,09,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-09-011,09,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-09-011,09,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-09-021,09,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-09-021,09,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-09-021,09,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-09-021,09,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-09-021,09,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-09-031,09,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-09-031,09,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-09-031,09,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-09-031,09,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-09-031,09,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-06-011,06,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-06-011,06,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-06-011,06,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-06-011,06,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-06-011,06,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-06-021,06,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-06-021,06,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-06-021,06,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-06-021,06,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-06-021,06,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-06-031,06,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-06-031,06,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-06-031,06,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-06-031,06,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-06-031,06,03,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09167P,cr25aw09167-69-021,69,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",2,,3,2,,2025-12-01
cr25aw09167P,cr25aw09167-69-021,69,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09167P,cr25aw09167-69-021,69,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09167P,cr25aw09167-69-021,69,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09167P,cr25aw09167-69-021,69,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09167P,cr25aw09167-69-031,69,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",2,,3,2,,2025-12-01
cr25aw09167P,cr25aw09167-69-031,69,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09167P,cr25aw09167-69-031,69,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09167P,cr25aw09167-69-031,69,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09167P,cr25aw09167-69-031,69,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09167P,cr25aw09167-04-021,04,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",2,,3,2,,2025-12-01
cr25aw09167P,cr25aw09167-04-021,04,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09167P,cr25aw09167-04-021,04,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09167P,cr25aw09167-04-021,04,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09167P,cr25aw09167-04-021,04,02,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09167P,cr25aw09167-04-031,04,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",2,,3,2,,2025-12-01
cr25aw09167P,cr25aw09167-04-031,04,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09167P,cr25aw09167-04-031,04,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09167P,cr25aw09167-04-031,04,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09167P,cr25aw09167-04-031,04,03,"ロービングスラブルーズニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw11169P,cr25aw11169-09-011,09,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw11169P,cr25aw11169-09-011,09,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw11169P,cr25aw11169-09-011,09,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw11169P,cr25aw11169-09-011,09,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw11169P,cr25aw11169-09-011,09,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw11169P,cr25aw11169-09-021,09,02,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
