品番,サイズコード,"サイズ（ / 区切り）",商品名
cr25aw19160,01,90cm/約65cm～69cm/99cm/109cm/5.5cm,フェイクスウェードIラインスカート
cr25aw19160,02,93cm/約69cm～73cm/103cm/113cm/5.5cm,フェイクスウェードIラインスカート
cr25aw19160,03,96cm/約73cm～77cm/107cm/117cm/5.5cm,フェイクスウェードIラインスカート
cr25aw07157,01,56.5cm/34.5cm/99cm/10cm/20cm/約76cm/59cm/40cm/20cm/101cm,バックドロストハイネックトップス
cr25aw07157,02,59.5cm/35.5cm/103cm/10cm/20cm/約78.5cm/61cm/41cm/20cm/105cm,バックドロストハイネックトップス
cr25aw07157,03,62.5cm/36.5cm/107cm/10cm/20cm/約81cm/63cm/42cm/20cm/109cm,バックドロストハイネックトップス
cr25aw09156,77,58cm/57cm/132cm/22cm/77.5cm/49cm/40cm/28cm/120cm,モヘヤミックスシアールーズニット
cr25aw09156,88,66cm/57cm/132cm/22cm/80.5cm/52cm/40cm/28cm/120cm,モヘヤミックスシアールーズニット
cr25aw06154,01,67cm/51cm/111cm/76.5cm/51cm/44cm/21.5cm～24.5cm/111cm,ストライプパネルシームシャツ
cr25aw06154,02,69.5cm/52cm/114cm/79cm/53cm/45cm/22cm～25cm/114cm,ストライプパネルシームシャツ
cr25aw06154,03,72cm/53cm/117cm/81.5cm/55cm/46cm/22cm～26cm/117cm,ストライプパネルシームシャツ
cr25aw04153,01,65cm/54cm/126cm/18cm/81cm/54cm/52.5cm/24cm～31cm/126cm/約440g,ヴィンテージギャバルーズブルゾン
cr25aw04153,02,68cm/55cm/130cm/18.5cm/83cm/55.5cm/53.5cm/24.5cm～31.5cm/130cm/約450g,ヴィンテージギャバルーズブルゾン
cr25aw04153,03,71cm/56cm/134cm/19cm/85cm/57cm/54.5cm/25cm～32cm/134cm/約480g,ヴィンテージギャバルーズブルゾン
cr25aw14134,99,80cm/0.1cm/約5.3cm/最大0.6cm/0.5cm/約10g,ウェイビーアジャスタブルネックレス
cr25aw06151,01,124cm/38.5cm/106cm/17cm/58cm/47cm/23.5cm/119cm,サテンドレープシャツワンピース
cr25aw06151,02,130cm/39.5cm/109cm/17cm/59cm/48cm/24.5cm/122cm,サテンドレープシャツワンピース
cr25aw06151,03,135.5cm/40.5cm/112cm/17cm/61cm/49cm/25.5cm/125cm,サテンドレープシャツワンピース
cr25aw19148,01,91cm/約58.5cm～74cm/102cm/102cm/56cm,テンセルコットンピケIラインスカート
cr25aw19148,02,94cm/約62.5cm～79cm/106cm/106cm/57cm,テンセルコットンピケIラインスカート
